"position","row_id","entrez_id","symbol","group","source"
104,"gene6614","6614","SIGLEC1","CUR_15","Reactome (reactome.db 1.95.0)"
105,"gene665","665","BNIP3L","CUR_01","Reactome (reactome.db 1.95.0)"
106,"gene8651","8651","SOCS1","CUR_07","Reactome (reactome.db 1.95.0)"
107,"gene9415","9415","FADS2","CUR_03","Reactome (reactome.db 1.95.0)"
108,"gene115361","115361","GBP4","CUR_06","Reactome (reactome.db 1.95.0)"
109,"gene10964","10964","IFI44L","CUR_13","Reactome (reactome.db 1.95.0)"
110,"gene9734","9734","HDAC9","CUR_01","Reactome (reactome.db 1.95.0)"
111,"gene10410","10410","IFITM3","CUR_13","Reactome (reactome.db 1.95.0)"
112,"gene2935","2935","GSPT1","CUR_14","Reactome (reactome.db 1.95.0)"
113,"gene10808","10808","HSPH1","CUR_19","Reactome (reactome.db 1.95.0)"
114,"gene162466","162466","PHOSPHO1","CUR_03","Reactome (reactome.db 1.95.0)"
115,"gene51094","51094","ADIPOR1","CUR_05","Reactome (reactome.db 1.95.0)"
116,"gene10561","10561","IFI44","CUR_13","Reactome (reactome.db 1.95.0)"
117,"gene25941","25941","TPGS2","CUR_08","Reactome (reactome.db 1.95.0)"
118,"gene1299","1299","COL9A3","CUR_12","Reactome (reactome.db 1.95.0)"
119,"gene9332","9332","CD163","CUR_10","Reactome (reactome.db 1.95.0)"
120,"gene7049","7049","TGFBR3","CUR_12","Reactome (reactome.db 1.95.0)"
121,"gene4603","4603","MYBL1","CUR_01","Reactome (reactome.db 1.95.0)"
122,"gene30009","30009","TBX21","CUR_16","Reactome (reactome.db 1.95.0)"
123,"gene51759","51759","C9orf78","CUR_06","Reactome (reactome.db 1.95.0)"
124,"gene7088","7088","TLE1","CUR_12","Reactome (reactome.db 1.95.0)"
125,"gene8843","8843","HCAR3","CUR_02","Reactome (reactome.db 1.95.0)"
126,"gene84164","84164","ASCC2","CUR_05","Reactome (reactome.db 1.95.0)"
127,"gene255488","255488","RNF144B","CUR_18","Reactome (reactome.db 1.95.0)"
128,"gene1462","1462","VCAN","CUR_08","Reactome (reactome.db 1.95.0)"
129,"gene9047","9047","SH2D2A","CUR_12","Reactome (reactome.db 1.95.0)"
130,"gene10133","10133","OPTN","CUR_07","Reactome (reactome.db 1.95.0)"
131,"gene997","997","CDC34","CUR_18","Reactome (reactome.db 1.95.0)"
132,"gene7314","7314","UBB","CUR_17","Reactome (reactome.db 1.95.0)"
133,"gene5159","5159","PDGFRB","CUR_07","Reactome (reactome.db 1.95.0)"
134,"gene51191","51191","HERC5","CUR_06","Reactome (reactome.db 1.95.0)"
135,"gene26053","26053","AUTS2","CUR_01","Reactome (reactome.db 1.95.0)"
136,"gene11213","11213","IRAK3","CUR_07","Reactome (reactome.db 1.95.0)"
137,"gene4753","4753","NELL2","CUR_16","Reactome (reactome.db 1.95.0)"
138,"gene241","241","ALOX5AP","CUR_03","Reactome (reactome.db 1.95.0)"
139,"gene8818","8818","DPM2","CUR_08","Reactome (reactome.db 1.95.0)"
140,"gene5730","5730","PTGDS","CUR_03","Reactome (reactome.db 1.95.0)"
141,"gene4897","4897","NRCAM","CUR_16","Reactome (reactome.db 1.95.0)"
142,"gene266727","266727","MDGA1","CUR_08","Reactome (reactome.db 1.95.0)"
143,"gene8644","8644","AKR1C3","CUR_03","Reactome (reactome.db 1.95.0)"
144,"gene139189","139189","DGKK","CUR_02","Reactome (reactome.db 1.95.0)"
145,"gene10398","10398","MYL9","CUR_11","Reactome (reactome.db 1.95.0)"
146,"gene94240","94240","EPSTI1","CUR_11","Reactome (reactome.db 1.95.0)"
147,"gene8131","8131","NPRL3","CUR_19","Reactome (reactome.db 1.95.0)"
148,"gene2354","2354","FOSB","CUR_12","Reactome (reactome.db 1.95.0)"
149,"gene54625","54625","PARP14","CUR_06","Reactome (reactome.db 1.95.0)"
150,"gene26253","26253","CLEC4E","CUR_04","Reactome (reactome.db 1.95.0)"
151,"gene166929","166929","SGMS2","CUR_03","Reactome (reactome.db 1.95.0)"
152,"gene9619","9619","ABCG1","CUR_03","Reactome (reactome.db 1.95.0)"
153,"gene10409","10409","BASP1","CUR_11","Reactome (reactome.db 1.95.0)"
154,"gene2623","2623","GATA1","CUR_01","Reactome (reactome.db 1.95.0)"
155,"gene948","948","CD36","CUR_07","Reactome (reactome.db 1.95.0)"
