"position","row_id","entrez_id","symbol","group","source"
169,"gene6210","6210","RPS15A","FM_05","scGPT"
170,"gene3674","3674","ITGA2B","FM_20","scGPT"
171,"gene83547","83547","RILP","FM_08","scGPT"
172,"gene729230","729230","CCR2","FM_13","scGPT"
173,"gene5473","5473","PPBP","FM_20","scGPT"
174,"gene3988","3988","LIPA","FM_15","scGPT"
175,"gene7504","7504","XK","FM_08","scGPT"
176,"gene3985","3985","LIMK2","FM_16","scGPT"
177,"gene19","19","ABCA1","FM_17","scGPT"
178,"gene10498","10498","CARM1","FM_03","scGPT"
179,"gene51465","51465","UBE2J1","FM_14","scGPT"
180,"gene2064","2064","ERBB2","FM_02","scGPT"
181,"gene3690","3690","ITGB3","FM_20","scGPT"
182,"gene1066","1066","CES1","FM_15","scGPT"
183,"gene342510","342510","CD300E","FM_13","scGPT"
184,"gene2876","2876","GPX1","FM_10","scGPT"
185,"gene5029","5029","P2RY2","FM_02","scGPT"
186,"gene1236","1236","CCR7","FM_04","scGPT"
187,"gene59269","59269","HIVEP3","FM_01","scGPT"
188,"gene222487","222487","ADGRG3","FM_16","scGPT"
189,"gene5037","5037","PEBP1","FM_18","scGPT"
190,"gene4051","4051","CYP4F3","FM_16","scGPT"
191,"gene23166","23166","STAB1","FM_13","scGPT"
192,"gene3956","3956","LGALS1","FM_11","scGPT"
193,"gene27244","27244","SESN1","FM_01","scGPT"
194,"gene4066","4066","LYL1","FM_08","scGPT"
195,"gene6283","6283","S100A12","FM_12","scGPT"
196,"gene604","604","BCL6","FM_07","scGPT"
197,"gene3553","3553","IL1B","FM_07","scGPT"
198,"gene9148","9148","NEURL1","FM_03","scGPT"
199,"gene1240","1240","CMKLR1","FM_13","scGPT"
200,"gene2180","2180","ACSL1","FM_15","scGPT"
201,"gene8972","8972","MGAM","FM_16","scGPT"
202,"gene1808","1808","DPYSL2","FM_01","scGPT"
203,"gene2353","2353","FOS","FM_07","scGPT"
204,"gene1521","1521","CTSW","FM_04","scGPT"
205,"gene5920","5920","PLAAT4","FM_04","scGPT"
206,"gene6319","6319","SCD","FM_19","scGPT"
207,"gene973","973","CD79A","FM_14","scGPT"
208,"gene9256","9256","TSPOAP1","FM_03","scGPT"
209,"gene4609","4609","MYC","FM_06","scGPT"
210,"gene4145","4145","MATK","FM_04","scGPT"
211,"gene10346","10346","TRIM22","FM_09","scGPT"
212,"gene3117","3117","HLA-DQA1","FM_14","scGPT"
213,"gene3934","3934","LCN2","FM_12","scGPT"
214,"gene23608","23608","MKRN1","FM_08","scGPT"
215,"gene9435","9435","CHST2","FM_13","scGPT"
216,"gene1545","1545","CYP1B1","FM_07","scGPT"
217,"gene92745","92745","SLC38A5","FM_08","scGPT"
218,"gene2205","2205","FCER1A","FM_14","scGPT"
219,"gene6133","6133","RPL9","FM_05","scGPT"
220,"gene4035","4035","LRP1","FM_11","scGPT"
221,"gene56994","56994","CHPT1","FM_01","scGPT"
222,"gene338442","338442","HCAR2","FM_15","scGPT"
223,"gene1053","1053","CEBPE","FM_12","scGPT"
224,"gene5204","5204","PFDN5","FM_10","scGPT"
225,"gene93010","93010","B3GNT7","FM_09","scGPT"
226,"gene3759","3759","KCNJ2","FM_12","scGPT"
227,"gene9510","9510","ADAMTS1","FM_07","scGPT"
228,"gene3113","3113","HLA-DPA1","FM_14","scGPT"
229,"gene10905","10905","MAN1A2","FM_01","scGPT"
230,"gene3315","3315","HSPB1","FM_18","scGPT"
231,"gene6193","6193","RPS5","FM_05","scGPT"
232,"gene7001","7001","PRDX2","FM_08","scGPT"
233,"gene10602","10602","CDC42EP3","FM_12","scGPT"
234,"gene6285","6285","S100B","FM_11","scGPT"
235,"gene196","196","AHR","FM_07","scGPT"
236,"gene1524","1524","CX3CR1","FM_04","scGPT"
237,"gene9588","9588","PRDX6","FM_10","scGPT"
238,"gene4311","4311","MME","FM_16","scGPT"
239,"gene55831","55831","EMC3","FM_08","scGPT"
240,"gene9935","9935","MAFB","FM_07","scGPT"
241,"gene2015","2015","ADGRE1","FM_13","scGPT"
242,"gene10435","10435","CDC42EP2","FM_13","scGPT"
243,"gene2030","2030","SLC29A1","FM_08","scGPT"
244,"gene4012","4012","LNPEP","FM_01","scGPT"
245,"gene3162","3162","HMOX1","FM_15","scGPT"
246,"gene51312","51312","SLC25A37","FM_08","scGPT"
247,"gene2091","2091","FBL","FM_06","scGPT"
