"row_id","symbol","baseline_mean","baseline_between_subject_sd"
"gene677763","SCARNA21",2.281,0.697
"gene25907","TMEM158",2.284,0.696
"gene4605","MYBL2",2.489,0.696
"gene59285","CACNG6",2.618,0.695
"gene3568","IL5RA",5.073,0.694
"gene28831","IGLJ3",2.473,0.693
"gene3106","HLA-B",10.24,0.693
"gene105377774",NA,2.604,0.691
"gene164118","TTC24",3.072,0.691
"gene6967","TRGC2",5.196,0.69
"gene124221","PRSS30P",2.772,0.69
"gene8531","YBX3",9.245,0.69
"gene3690","ITGB3",6.358,0.689
"gene28442","IGHV3-23",3.142,0.688
"gene152518","NFXL1",3.606,0.688
"gene388931","MFSD2B",3.061,0.687
"gene54892","NCAPG2",3.559,0.685
"gene200772","UICLM",4.28,0.683
"gene28912","IGKV3-20",4.558,0.683
"gene102723728","LOC102723728",2.202,0.682
"gene6036","RNASE2",4.147,0.682
"gene59352","LGR6",4.159,0.681
"gene28815","IGLV2-14",4.441,0.68
"gene100288152","SLC9A3-AS1",3.211,0.68
"gene4646","MYO6",2.715,0.678
"gene8638","OASL",3.453,0.675
"gene28596","TRBV7-2",2.543,0.675
"gene1824","DSC2",3.302,0.675
"gene22846","VASH1",5.172,0.675
"gene5166","PDK4",2.499,0.675
"gene100861555","SWINGN",2.453,0.673
"gene1178","CLC",6.8,0.672
"gene6097","RORC",2.89,0.671
"gene23189","KANK1",3.235,0.67
"gene22932","POMZP3",2.438,0.67
"gene85495","RPPH1",2.805,0.67
"gene11098","PRSS23",4.95,0.668
"gene51218","GLRX5",6.381,0.668
"gene286","ANK1",6.534,0.666
"gene28930","IGKV1-39",2.056,0.665
"gene376267","RAB15",2.874,0.663
"gene9902","MRC2",4.432,0.663
"gene85379","KIAA1671",3.777,0.663
"gene343413","FCRL6",6.061,0.662
"gene10290","SPEG",3.158,0.661
"gene8857","FCGBP",5.29,0.661
"gene25911","DPCD",2.322,0.66
"gene54997","TESC",6.633,0.659
"gene8644","AKR1C3",3.916,0.659
"gene4571","MT-TP",2.924,0.659
"gene102465508","MIR6843",3.062,0.659
"gene4784","NFIX",5.588,0.656
"gene6799","SULT1A2",2.153,0.655
"gene928","CD9",4.723,0.655
"gene2995","GYPC",9.728,0.654
"gene9510","ADAMTS1",3.92,0.654
"gene387066","SNHG5",4.943,0.653
